;Antofagasta;La Serena;Coquimbo;Santiago;Valparaíso;Rancagua;Concepción;Chillán;Curanilahue;Temuco;Los Ángeles;Talca;Curicó;Puerto Montt;Chiloé
Antofagasta;0,0;;;141690,0;141690,0;141690,0;;;;;;;;;
La Serena;;0,0;;62696,0;62696,0;62696,0;;;;;;;;;
Coquimbo;;;0,0;62696,0;62696,0;62696,0;;;;;;;;;
Santiago;141690,0;62696,0;62696,0;0,0;;;67234,0;67234,0;67234,0;90184,0;71733,0;45686,0;45686,0;120977,0;133130,0
Valparaíso;141690,0;62696,0;62696,0;;0,0;;67234,0;67234,0;67234,0;90184,0;71733,0;45686,0;45686,0;120977,0;133130,0
Rancagua;141690,0;62696,0;62696,0;;;0,0;67234,0;67234,0;67234,0;90184,0;71733,0;45686,0;45686,0;120977,0;133130,0
Concepción;;;;67234,0;67234,0;67234,0;0,0;;;;;;;;
Chillán;;;;67234,0;67234,0;67234,0;;0,0;;;;;;;
Curanilahue;;;;67234,0;67234,0;67234,0;;;0,0;;;;;;
Temuco;;;;90184,0;90184,0;90184,0;;;;0,0;;;;;
Los Ángeles;;;;71733,0;71733,0;71733,0;;;;;0,0;;;;
Talca;;;;45686,0;45686,0;45686,0;;;;;;0,0;;;
Curicó;;;;45686,0;45686,0;45686,0;;;;;;;0,0;;
Puerto Montt;;;;120977,0;120977,0;120977,0;;;;;;;;0,0;
Chiloé;;;;133130,0;133130,0;133130,0;;;;;;;;;0,0
