;Antofagasta;La Serena;Coquimbo;Santiago;Valparaíso;Rancagua;Concepción;Chillán;Curanilahue;Temuco;Los Ángeles;Talca;Curicó;Puerto Montt;Chiloé
Antofagasta;0,0;;;1106,3;1106,3;1106,3;;;;;;;;;
La Serena;;0,0;;388,1;388,1;388,1;;;;;;;;;
Coquimbo;;;0,0;388,1;388,1;388,1;;;;;;;;;
Santiago;1106,3;388,1;388,1;0,0;;;429,4;429,4;429,4;638,0;470,3;233,5;233,5;918,0;1028,5
Valparaíso;1106,3;388,1;388,1;;0,0;;429,4;429,4;429,4;638,0;470,3;233,5;233,5;918,0;1028,5
Rancagua;1106,3;388,1;388,1;;;0,0;429,4;429,4;429,4;638,0;470,3;233,5;233,5;918,0;1028,5
Concepción;;;;429,4;429,4;429,4;0,0;;;;;;;;
Chillán;;;;429,4;429,4;429,4;;0,0;;;;;;;
Curanilahue;;;;429,4;429,4;429,4;;;0,0;;;;;;
Temuco;;;;638,0;638,0;638,0;;;;0,0;;;;;
Los Ángeles;;;;470,3;470,3;470,3;;;;;0,0;;;;
Talca;;;;233,5;233,5;233,5;;;;;;0,0;;;
Curicó;;;;233,5;233,5;233,5;;;;;;;0,0;;
Puerto Montt;;;;918,0;918,0;918,0;;;;;;;;0,0;
Chiloé;;;;1028,5;1028,5;1028,5;;;;;;;;;0,0
