;Santiago;Valparaíso;Mejillones;San Vicente;Iquique;Puerto Montt;Lautaro;San Fernando;Punta Arenas;Antofagasta;Caldera;Coquimbo;Concepción;Arica;Puerto Chacabuco;Linares;Los Ángeles;Osorno;San Antonio;Calama;Castro;Chillán;Copiapó;Puerto Natales;Ovalle;Pichirropulli;Puerto Williams;Romeral;Talca;Valdivia
Santiago;0,0;8219,0;53249,0;8927,0;65538,0;40151,0;26905,0;8896,0;108073,0;50770,0;34571,0;20177,0;21491,0;75255,0;62715,0;14748,0;22041,0;36544,0;8042,0;57692,0;46004,0;18157,0;32232,0;101207,0;18187,0;34280,0;128780,0;10847,0;12995,0;33715,0
Valparaíso;8045,0;0,0;47859,0;8606,0;60148,0;39830,0;26583,0;8575,0;107751,0;45380,0;29181,0;14787,0;21169,0;69865,0;62394,0;14426,0;21720,0;36223,0;3223,0;52302,0;45682,0;17835,0;26842,0;100886,0;12797,0;33958,0;128458,0;10526,0;12674,0;33393,0
Mejillones;53254,0;47818,0;0,0;54029,0;12646,0;85253,0;72006,0;53998,0;153174,0;2291,0;18756,0;33187,0;66592,0;23892,0;107817,0;59849,0;67143,0;81646,0;50028,0;8936,0;91105,0;63258,0;21360,0;146309,0;35777,0;79381,0;173881,0;55949,0;58096,0;78816,0
San Vicente;8993,0;8645,0;54062,0;0,0;66351,0;32115,0;18869,0;860,0;100037,0;51583,0;35384,0;20990,0;13455,0;76068,0;54679,0;6712,0;14006,0;28508,0;4328,0;58505,0;37968,0;10121,0;33045,0;93171,0;19000,0;26244,0;120744,0;2812,0;4959,0;25679,0
Iquique;65550,0;60114,0;12650,0;66325,0;0,0;97549,0;84302,0;66294,0;165470,0;14587,0;31051,0;45483,0;78888,0;10883,0;120113,0;72145,0;79439,0;93942,0;62324,0;13583,0;103401,0;75554,0;33656,0;158605,0;48073,0;91677,0;186177,0;68245,0;70392,0;91112,0
Puerto Montt;40204,0;39856,0;85274,0;32135,0;97562,0;0,0;13386,0;31382,0;75462,0;82794,0;66595,0;52201,0;22617,0;107279,0;22586,0;25612,0;18131,0;3831,0;36725,0;89716,0;6103,0;22093,0;64256,0;68597,0;50211,0;7647,0;96169,0;29839,0;27295,0;7496,0
Lautaro;26935,0;26586,0;72004,0;18866,0;84293,0;13393,0;0,0;18113,0;81315,0;69525,0;53325,0;38932,0;9347,0;94009,0;35957,0;12343,0;4861,0;9786,0;23455,0;76447,0;19246,0;8823,0;50986,0;74449,0;36941,0;7522,0;102022,0;16569,0;14025,0;6957,0
San Fernando;8947,0;8599,0;54016,0;878,0;66305,0;31315,0;18069,0;0,0;99237,0;51537,0;35338,0;20944,0;12655,0;76022,0;53879,0;5912,0;13206,0;27708,0;5468,0;58459,0;37168,0;9321,0;32999,0;92371,0;18954,0;25444,0;119944,0;2012,0;4159,0;24879,0
Punta Arenas;108148,0;107799,0;153217,0;100079,0;165505,0;75497,0;81329,0;99326,0;0,0;150737,0;134538,0;120144,0;90560,0;175222,0;48045,0;93556,0;86074,0;72870,0;104668,0;157659,0;81349,0;90036,0;132199,0;8665,0;118154,0;76363,0;21155,0;97782,0;95238,0;76211,0
Antofagasta;50747,0;45311,0;2300,0;51522,0;14589,0;82746,0;69499,0;51491,0;150667,0;0,0;16248,0;30680,0;64085,0;25130,0;105309,0;57342,0;64636,0;79138,0;47521,0;7568,0;88598,0;60751,0;18853,0;143802,0;33270,0;76874,0;171374,0;53442,0;55589,0;76309,0
Caldera;34586,0;29150,0;18773,0;35361,0;31062,0;66585,0;53339,0;35330,0;134507,0;16294,0;0,0;14520,0;47925,0;40779,0;89149,0;41182,0;48475,0;62978,0;31360,0;23216,0;72438,0;44591,0;2693,0;127641,0;17109,0;60714,0;155214,0;37281,0;39429,0;60149,0
